tick,num_cars,waiting_cars,congestion,average_speed
313,50,50,100,1
314,50,50,100,1
315,50,50,100,1
316,50,50,100,1
317,50,50,100,1
318,50,50,100,1
319,50,50,100,1
320,50,50,100,1
321,50,50,100,1
322,50,50,100,1
323,50,50,100,1
324,50,50,100,1
325,50,50,100,1
326,50,50,100,1
327,50,50,100,1
328,50,50,100,1
329,50,50,100,1
330,50,50,100,1
331,50,50,100,1
332,50,50,100,1
333,50,50,100,1
334,50,50,100,1
335,50,50,100,1
336,50,50,100,1
337,50,50,100,1
338,50,50,100,1
339,50,50,100,1
340,50,50,100,1
341,50,50,100,1
342,50,50,100,1
343,50,50,100,1
344,50,50,100,1
345,50,50,100,1
346,50,50,100,1
347,50,50,100,1
348,50,50,100,1
349,50,50,100,1
350,50,50,100,1
351,50,50,100,1
352,50,50,100,1
353,50,50,100,1
354,50,50,100,1
355,50,50,100,1
356,50,50,100,1
357,50,50,100,1
358,50,50,100,1
359,50,50,100,1
360,50,50,100,1
361,50,50,100,1
362,50,50,100,1
363,50,50,100,1
364,50,50,100,1
365,50,50,100,1
366,50,50,100,1
367,50,50,100,1
368,50,50,100,1
369,50,50,100,1
370,50,50,100,1
371,50,50,100,1
372,50,50,100,1
373,50,50,100,1
374,50,50,100,1
375,50,50,100,1
376,50,50,100,1
377,50,50,100,1
378,50,50,100,1
379,50,50,100,1
380,50,50,100,1
381,50,50,100,1
382,50,50,100,1
383,50,50,100,1
384,50,50,100,1
385,50,50,100,1
386,50,50,100,1
387,50,50,100,1
388,50,50,100,1
389,50,50,100,1
390,50,50,100,1
391,50,50,100,1
392,50,50,100,1
393,50,50,100,1
394,50,50,100,1
395,50,50,100,1
396,50,50,100,1
397,50,50,100,1
398,50,50,100,1
399,50,50,100,1
400,50,50,100,1
401,50,50,100,1
402,50,50,100,1
403,50,50,100,1
404,50,50,100,1
405,50,50,100,1
406,50,50,100,1
407,50,50,100,1
408,50,50,100,1
409,50,50,100,1
410,50,50,100,1
411,50,50,100,1
412,50,50,100,1
413,50,50,100,1
414,50,50,100,1
415,50,50,100,1
416,50,50,100,1
417,50,50,100,1
418,50,50,100,1
419,50,50,100,1
420,50,50,100,1
421,50,50,100,1
422,50,50,100,1
423,50,50,100,1
424,50,50,100,1
425,50,50,100,1
426,50,50,100,1
427,50,50,100,1
428,50,50,100,1
429,50,50,100,1
430,50,50,100,1
431,50,50,100,1
432,50,50,100,1
433,50,50,100,1
434,50,50,100,1
435,50,50,100,1
436,50,50,100,1
437,50,50,100,1
438,50,50,100,1
439,50,50,100,1
440,50,50,100,1
441,50,50,100,1
442,50,50,100,1
443,50,50,100,1
444,50,50,100,1
445,50,50,100,1
446,50,50,100,1
447,50,50,100,1
448,50,50,100,1
449,50,50,100,1
450,50,50,100,1
451,50,50,100,1
452,50,50,100,1
453,50,50,100,1
454,50,50,100,1
455,50,50,100,1
456,50,50,100,1
457,50,50,100,1
458,50,50,100,1
459,50,50,100,1
460,50,50,100,1
461,50,50,100,1
462,50,50,100,1
463,50,50,100,1
464,50,50,100,1
465,50,50,100,1
466,50,50,100,1
467,50,50,100,1
468,50,50,100,1
469,50,50,100,1
470,50,50,100,1
471,50,50,100,1
472,50,50,100,1
473,50,50,100,1
474,50,50,100,1
475,50,50,100,1
476,50,50,100,1
477,50,50,100,1
478,50,50,100,1
479,50,50,100,1
480,50,50,100,1
481,50,50,100,1
482,50,50,100,1
483,50,50,100,1
484,50,50,100,1
485,50,50,100,1
486,50,50,100,1
487,50,50,100,1
488,50,50,100,1
489,50,50,100,1
490,50,50,100,1
491,50,50,100,1
492,50,50,100,1
493,50,50,100,1
494,50,50,100,1
495,50,50,100,1
496,50,50,100,1
497,50,50,100,1
498,50,50,100,1
499,50,50,100,1
500,50,50,100,1
501,50,50,100,1
502,50,50,100,1
503,50,50,100,1
504,50,50,100,1
505,50,50,100,1
506,50,50,100,1
507,50,50,100,1
508,50,50,100,1
509,50,50,100,1
510,50,50,100,1
511,50,50,100,1
512,50,50,100,1
513,50,50,100,1
514,50,50,100,1
515,50,50,100,1
516,50,50,100,1
517,50,50,100,1
518,50,50,100,1
519,50,50,100,1
520,50,50,100,1
521,50,50,100,1
522,50,50,100,1
523,50,50,100,1
524,50,50,100,1
525,50,50,100,1
526,50,50,100,1
527,50,50,100,1
528,50,50,100,1
529,50,50,100,1
530,50,50,100,1
531,50,50,100,1
532,50,50,100,1
533,50,50,100,1
534,50,50,100,1
535,50,50,100,1
536,50,50,100,1
537,50,50,100,1
538,50,50,100,1
539,50,50,100,1
540,50,50,100,1
541,50,50,100,1
542,50,50,100,1
543,50,50,100,1
544,50,50,100,1
545,50,50,100,1
546,50,50,100,1
547,50,50,100,1
548,50,50,100,1
549,50,50,100,1
550,50,50,100,1
551,50,50,100,1
552,50,50,100,1
553,50,50,100,1
554,50,50,100,1
555,50,50,100,1
556,50,50,100,1
557,50,50,100,1
558,50,50,100,1
559,50,50,100,1
560,50,50,100,1
561,50,50,100,1
562,50,50,100,1
563,50,50,100,1
564,50,50,100,1
565,50,50,100,1
566,50,50,100,1
567,50,50,100,1
568,50,50,100,1
569,50,50,100,1
570,50,50,100,1
571,50,50,100,1
572,50,50,100,1
573,50,50,100,1
574,50,50,100,1
575,50,50,100,1
576,50,50,100,1
577,50,50,100,1
578,50,50,100,1
579,50,50,100,1
580,50,50,100,1
581,50,50,100,1
582,50,50,100,1
583,50,50,100,1
584,50,50,100,1
585,50,50,100,1
586,50,50,100,1
587,50,50,100,1
588,50,50,100,1
589,50,50,100,1
590,50,50,100,1
591,50,50,100,1
592,50,50,100,1
593,50,50,100,1
594,50,50,100,1
595,50,50,100,1
596,50,50,100,1
597,50,50,100,1
598,50,50,100,1
599,50,50,100,1
600,50,50,100,1
601,50,50,100,1
602,50,50,100,1
603,50,50,100,1
604,50,50,100,1
605,50,50,100,1
606,50,50,100,1
607,50,50,100,1
608,50,50,100,1
609,50,50,100,1
610,50,50,100,1
611,50,50,100,1
612,50,50,100,1
613,50,50,100,1
614,50,50,100,1
615,50,50,100,1
616,50,50,100,1
617,50,50,100,1
618,50,50,100,1
619,50,50,100,1
620,50,50,100,1
621,50,50,100,1
622,50,50,100,1
623,50,50,100,1
624,50,50,100,1
625,50,50,100,1
626,50,50,100,1
627,50,50,100,1
628,50,50,100,1
629,50,50,100,1
630,50,50,100,1
631,50,50,100,1
632,50,50,100,1
633,50,50,100,1
634,50,50,100,1
635,50,50,100,1
636,50,50,100,1
637,50,50,100,1
638,50,50,100,1
639,50,50,100,1
640,50,50,100,1
641,50,50,100,1
642,50,50,100,1
643,50,50,100,1
644,50,50,100,1
645,50,50,100,1
646,50,50,100,1
647,50,50,100,1
648,50,50,100,1
649,50,50,100,1
650,50,50,100,1
651,50,50,100,1
652,50,50,100,1
653,50,50,100,1
654,50,50,100,1
655,50,50,100,1
656,50,50,100,1
657,50,50,100,1
658,50,50,100,1
659,50,50,100,1
660,50,50,100,1
661,50,50,100,1
662,50,50,100,1
663,50,50,100,1
664,50,50,100,1
665,50,50,100,1
666,50,50,100,1
667,50,50,100,1
668,50,50,100,1
669,50,50,100,1
670,50,50,100,1
671,50,50,100,1
672,50,50,100,1
673,50,50,100,1
674,50,50,100,1
675,50,50,100,1
676,50,50,100,1
677,50,50,100,1
678,50,50,100,1
679,50,50,100,1
680,50,50,100,1
681,50,50,100,1
682,50,50,100,1
683,50,50,100,1
684,50,50,100,1
685,50,50,100,1
686,50,50,100,1
687,50,50,100,1
688,50,50,100,1
689,50,50,100,1
690,50,50,100,1
691,50,50,100,1
692,50,50,100,1
693,50,50,100,1
694,50,50,100,1
695,50,50,100,1
696,50,50,100,1
697,50,50,100,1
698,50,50,100,1
699,50,50,100,1
700,50,50,100,1
701,50,50,100,1
702,50,50,100,1
703,50,50,100,1
704,50,50,100,1
705,50,50,100,1
706,50,50,100,1
707,50,50,100,1
708,50,50,100,1
709,50,50,100,1
710,50,50,100,1
711,50,50,100,1
712,50,50,100,1
713,50,50,100,1
714,50,50,100,1
715,50,50,100,1
716,50,50,100,1
717,50,50,100,1
718,50,50,100,1
719,50,50,100,1
720,50,50,100,1
721,50,50,100,1
722,50,50,100,1
723,50,50,100,1
724,50,50,100,1
725,50,50,100,1
726,50,50,100,1
727,50,50,100,1
728,50,50,100,1
729,50,50,100,1
730,50,50,100,1
731,50,50,100,1
732,50,50,100,1
733,50,50,100,1
734,50,50,100,1
735,50,50,100,1
736,50,50,100,1
737,50,50,100,1
738,50,50,100,1
739,50,50,100,1
740,50,50,100,1
741,50,50,100,1
742,50,50,100,1
743,50,50,100,1
744,50,50,100,1
745,50,50,100,1
746,50,50,100,1
747,50,50,100,1
748,50,50,100,1
749,50,50,100,1
750,50,50,100,1
751,50,50,100,1
752,50,50,100,1
753,50,50,100,1
754,50,50,100,1
755,50,50,100,1
756,50,50,100,1
757,50,50,100,1
758,50,50,100,1
759,50,50,100,1
760,50,50,100,1
761,50,50,100,1
762,50,50,100,1
763,50,50,100,1
764,50,50,100,1
765,50,50,100,1
766,50,50,100,1
767,50,50,100,1
768,50,50,100,1
769,50,50,100,1
770,50,50,100,1
771,50,50,100,1
772,50,50,100,1
773,50,50,100,1
774,50,50,100,1
775,50,50,100,1
776,50,50,100,1
777,50,50,100,1
778,50,50,100,1
779,50,50,100,1
780,50,50,100,1
781,50,50,100,1
782,50,50,100,1
783,50,50,100,1
784,50,50,100,1
785,50,50,100,1
786,50,50,100,1
787,50,50,100,1
788,50,50,100,1
789,50,50,100,1
790,50,50,100,1
791,50,50,100,1
792,50,50,100,1
793,50,50,100,1
794,50,50,100,1
795,50,50,100,1
796,50,50,100,1
797,50,50,100,1
798,50,50,100,1
799,50,50,100,1
800,50,50,100,1
801,50,50,100,1
802,50,50,100,1
803,50,50,100,1
804,50,50,100,1
805,50,50,100,1
806,50,50,100,1
807,50,50,100,1
808,50,50,100,1
809,50,50,100,1
810,50,50,100,1
811,50,50,100,1
812,50,50,100,1
813,50,50,100,1
814,50,50,100,1
815,50,50,100,1
816,50,50,100,1
817,50,50,100,1
818,50,50,100,1
819,50,50,100,1
820,50,50,100,1
821,50,50,100,1
822,50,50,100,1
823,50,50,100,1
824,50,50,100,1
825,50,50,100,1
826,50,50,100,1
827,50,50,100,1
828,50,50,100,1
829,50,50,100,1
830,50,50,100,1
831,50,50,100,1
832,50,50,100,1
833,50,50,100,1
834,50,50,100,1
835,50,50,100,1
836,50,50,100,1
837,50,50,100,1
838,50,50,100,1
839,50,50,100,1
840,50,50,100,1
841,50,50,100,1
842,50,50,100,1
843,50,50,100,1
844,50,50,100,1
845,50,50,100,1
846,50,50,100,1
847,50,50,100,1
848,50,50,100,1
849,50,50,100,1
850,50,50,100,1
851,50,50,100,1
852,50,50,100,1
853,50,50,100,1
854,50,50,100,1
855,50,50,100,1
856,50,50,100,1
857,50,50,100,1
858,50,50,100,1
859,50,50,100,1
860,50,50,100,1
861,50,50,100,1
862,50,50,100,1
863,50,50,100,1
864,50,50,100,1
865,50,50,100,1
866,50,50,100,1
867,50,50,100,1
868,50,50,100,1
869,50,50,100,1
870,50,50,100,1
871,50,50,100,1
872,50,50,100,1
873,50,50,100,1
874,50,50,100,1
875,50,50,100,1
876,50,50,100,1
877,50,50,100,1
878,50,50,100,1
879,50,50,100,1
880,50,50,100,1
881,50,50,100,1
882,50,50,100,1
883,50,50,100,1
884,50,50,100,1
885,50,50,100,1
886,50,50,100,1
887,50,50,100,1
888,50,50,100,1
889,50,50,100,1
890,50,50,100,1
891,50,50,100,1
892,50,50,100,1
893,50,50,100,1
894,50,50,100,1
895,50,50,100,1
896,50,50,100,1
897,50,50,100,1
898,50,50,100,1
899,50,50,100,1
900,50,50,100,1
901,50,50,100,1
902,50,50,100,1
903,50,50,100,1
904,50,50,100,1
905,50,50,100,1
906,50,50,100,1
907,50,50,100,1
908,50,50,100,1
909,50,50,100,1
910,50,50,100,1
911,50,50,100,1
912,50,50,100,1
913,50,50,100,1
914,50,50,100,1
915,50,50,100,1
916,50,50,100,1
917,50,50,100,1
918,50,50,100,1
919,50,50,100,1
920,50,50,100,1
921,50,50,100,1
922,50,50,100,1
923,50,50,100,1
924,50,50,100,1
925,50,50,100,1
926,50,50,100,1
927,50,50,100,1
928,50,50,100,1
929,50,50,100,1
930,50,50,100,1
931,50,50,100,1
932,50,50,100,1
933,50,50,100,1
934,50,50,100,1
935,50,50,100,1
936,50,50,100,1
937,50,50,100,1
938,50,50,100,1
939,50,50,100,1
940,50,50,100,1
941,50,50,100,1
942,50,50,100,1
943,50,50,100,1
944,50,50,100,1
945,50,50,100,1
946,50,50,100,1
947,50,50,100,1
948,50,50,100,1
949,50,50,100,1
950,50,50,100,1
951,50,50,100,1
952,50,50,100,1
953,50,50,100,1
954,50,50,100,1
955,50,50,100,1
956,50,50,100,1
957,50,50,100,1
958,50,50,100,1
959,50,50,100,1
960,50,50,100,1
961,50,50,100,1
962,50,50,100,1
963,50,50,100,1
964,50,50,100,1
965,50,50,100,1
966,50,50,100,1
967,50,50,100,1
968,50,50,100,1
969,50,50,100,1
970,50,50,100,1
971,50,50,100,1
972,50,50,100,1
973,50,50,100,1
974,50,50,100,1
975,50,50,100,1
976,50,50,100,1
977,50,50,100,1
978,50,50,100,1
979,50,50,100,1
980,50,50,100,1
981,50,50,100,1
982,50,50,100,1
983,50,50,100,1
984,50,50,100,1
985,50,50,100,1
986,50,50,100,1
987,50,50,100,1
988,50,50,100,1
989,50,50,100,1
990,50,50,100,1
991,50,50,100,1
992,50,50,100,1
993,50,50,100,1
994,50,50,100,1
995,50,50,100,1
996,50,50,100,1
997,50,50,100,1
998,50,50,100,1
999,50,50,100,1
1000,50,50,100,1
1001,50,50,100,1
1002,50,50,100,1
1003,50,50,100,1
1004,50,50,100,1
1005,50,50,100,1
1006,50,50,100,1
1007,50,50,100,1
1008,50,50,100,1
1009,50,50,100,1
1010,50,50,100,1
1011,50,50,100,1
1012,50,50,100,1
1013,50,50,100,1
1014,50,50,100,1
1015,50,50,100,1
1016,50,50,100,1
1017,50,50,100,1
1018,50,50,100,1
1019,50,50,100,1
1020,50,50,100,1
1021,50,50,100,1
1022,50,50,100,1
1023,50,50,100,1
1024,50,50,100,1
1025,50,50,100,1
1026,50,50,100,1
1027,50,50,100,1
1028,50,50,100,1
1029,50,50,100,1
1030,50,50,100,1
1031,50,50,100,1
1032,50,50,100,1
1033,50,50,100,1
1034,50,50,100,1
1035,50,50,100,1
1036,50,50,100,1
1037,50,50,100,1
1038,50,50,100,1
1039,50,50,100,1
1040,50,50,100,1
1041,50,50,100,1
1042,50,50,100,1
1043,50,50,100,1
1044,50,50,100,1
1045,50,50,100,1
1046,50,50,100,1
1047,50,50,100,1
1048,50,50,100,1
1049,50,50,100,1
1050,50,50,100,1
1051,50,50,100,1
1052,50,50,100,1
1053,50,50,100,1
1054,50,50,100,1
1055,50,50,100,1
1056,50,50,100,1
1057,50,50,100,1
1058,50,50,100,1
1059,50,50,100,1
1060,50,50,100,1
1061,50,50,100,1
1062,50,50,100,1
1063,50,50,100,1
1064,50,50,100,1
1065,50,50,100,1
1066,50,50,100,1
1067,50,50,100,1
1068,50,50,100,1
1069,50,50,100,1
1070,50,50,100,1
1071,50,50,100,1
1072,50,50,100,1
1073,50,50,100,1
1074,50,50,100,1
1075,50,50,100,1
1076,50,50,100,1
1077,50,50,100,1
1078,50,50,100,1
1079,50,50,100,1
1080,50,50,100,1
1081,50,50,100,1
1082,50,50,100,1
1083,50,50,100,1
1084,50,50,100,1
1085,50,50,100,1
1086,50,50,100,1
1087,50,50,100,1
1088,50,50,100,1
1089,50,50,100,1
1090,50,50,100,1
1091,50,50,100,1
1092,50,50,100,1
1093,50,50,100,1
1094,50,50,100,1
1095,50,50,100,1
1096,50,50,100,1
1097,50,50,100,1
1098,50,50,100,1
1099,50,50,100,1
1100,50,50,100,1
1101,50,50,100,1
1102,50,50,100,1
1103,50,50,100,1
1104,50,50,100,1
1105,50,50,100,1
1106,50,50,100,1
1107,50,50,100,1
1108,50,50,100,1
1109,50,50,100,1
1110,50,50,100,1
1111,50,50,100,1
1112,50,50,100,1
1113,50,50,100,1
1114,50,50,100,1
1115,50,50,100,1
1116,50,50,100,1
1117,50,50,100,1
1118,50,50,100,1
1119,50,50,100,1
1120,50,50,100,1
1121,50,50,100,1
1122,50,50,100,1
1123,50,50,100,1
1124,50,50,100,1
1125,50,50,100,1
1126,50,50,100,1
1127,50,50,100,1
1128,50,50,100,1
1129,50,50,100,1
1130,50,50,100,1
1131,50,50,100,1
1132,50,50,100,1
1133,50,50,100,1
1134,50,50,100,1
1135,50,50,100,1
1136,50,50,100,1
1137,50,50,100,1
1138,50,50,100,1
1139,50,50,100,1
1140,50,50,100,1
1141,50,50,100,1
1142,50,50,100,1
1143,50,50,100,1
1144,50,50,100,1
1145,50,50,100,1
1146,50,50,100,1
1147,50,50,100,1
1148,50,50,100,1
1149,50,50,100,1
1150,50,50,100,1
1151,50,50,100,1
1152,50,50,100,1
1153,50,50,100,1
1154,50,50,100,1
1155,50,50,100,1
1156,50,50,100,1
1157,50,50,100,1
1158,50,50,100,1
1159,50,50,100,1
1160,50,50,100,1
1161,50,50,100,1
1162,50,50,100,1
1163,50,50,100,1
1164,50,50,100,1
1165,50,50,100,1
1166,50,50,100,1
1167,50,50,100,1
1168,50,50,100,1
1169,50,50,100,1
1170,50,50,100,1
1171,50,50,100,1
1172,50,50,100,1
1173,50,50,100,1
1174,50,50,100,1
1175,50,50,100,1
1176,50,50,100,1
1177,50,50,100,1
1178,50,50,100,1
1179,50,50,100,1
1180,50,50,100,1
1181,50,50,100,1
1182,50,50,100,1
1183,50,50,100,1
1184,50,50,100,1
1185,50,50,100,1
1186,50,50,100,1
1187,50,50,100,1
1188,50,50,100,1
1189,50,50,100,1
1190,50,50,100,1
1191,50,50,100,1
1192,50,50,100,1
1193,50,50,100,1
1194,50,50,100,1
1195,50,50,100,1
1196,50,50,100,1
1197,50,50,100,1
1198,50,50,100,1
1199,50,50,100,1
1200,50,50,100,1
1201,50,50,100,1
1202,50,50,100,1
1203,50,50,100,1
1204,50,50,100,1
1205,50,50,100,1
1206,50,50,100,1
1207,50,50,100,1
1208,50,50,100,1
1209,50,50,100,1
1210,50,50,100,1
1211,50,50,100,1
1212,50,50,100,1
1213,50,50,100,1
1214,50,50,100,1
1215,50,50,100,1
1216,50,50,100,1
1217,50,50,100,1
1218,50,50,100,1
1219,50,50,100,1
1220,50,50,100,1
1221,50,50,100,1
1222,50,50,100,1
1223,50,50,100,1
1224,50,50,100,1
1225,50,50,100,1
1226,50,50,100,1
1227,50,50,100,1
1228,50,50,100,1
1229,50,50,100,1
1230,50,50,100,1
1231,50,50,100,1
1232,50,50,100,1
1233,50,50,100,1
1234,50,50,100,1
1235,50,50,100,1
1236,50,50,100,1
1237,50,50,100,1
1238,50,50,100,1
1239,50,50,100,1
1240,50,50,100,1
1241,50,50,100,1
1242,50,50,100,1
1243,50,50,100,1
1244,50,50,100,1
1245,50,50,100,1
1246,50,50,100,1
1247,50,50,100,1
1248,50,50,100,1
1249,50,50,100,1
1250,50,50,100,1
1251,50,50,100,1
1252,50,50,100,1
1253,50,50,100,1
1254,50,50,100,1
1255,50,50,100,1
1256,50,50,100,1
1257,50,50,100,1
1258,50,50,100,1
1259,50,50,100,1
1260,50,50,100,1
1261,50,50,100,1
1262,50,50,100,1
1263,50,50,100,1
1264,50,50,100,1
1265,50,50,100,1
1266,50,50,100,1
1267,50,50,100,1
1268,50,50,100,1
1269,50,50,100,1
1270,50,50,100,1
1271,50,50,100,1
1272,50,50,100,1
1273,50,50,100,1
1274,50,50,100,1
1275,50,50,100,1
1276,50,50,100,1
1277,50,50,100,1
1278,50,50,100,1
1279,50,50,100,1
1280,50,50,100,1
1281,50,50,100,1
1282,50,50,100,1
1283,50,50,100,1
1284,50,50,100,1
1285,50,50,100,1
1286,50,50,100,1
1287,50,50,100,1
1288,50,50,100,1
1289,50,50,100,1
1290,50,50,100,1
1291,50,50,100,1
1292,50,50,100,1
1293,50,50,100,1
1294,50,50,100,1
1295,50,50,100,1
1296,50,50,100,1
1297,50,50,100,1
1298,50,50,100,1
1299,50,50,100,1
1300,50,50,100,1
1301,50,50,100,1
1302,50,50,100,1
1303,50,50,100,1
1304,50,50,100,1
1305,50,50,100,1
1306,50,50,100,1
1307,50,50,100,1
1308,50,50,100,1
1309,50,50,100,1
1310,50,50,100,1
1311,50,50,100,1
1312,50,50,100,1
1313,50,50,100,1
1314,50,50,100,1
1315,50,50,100,1
1316,50,50,100,1
1317,50,50,100,1
1318,50,50,100,1
1319,50,50,100,1
1320,50,50,100,1
1321,50,50,100,1
1322,50,50,100,1
1323,50,50,100,1
1324,50,50,100,1
1325,50,50,100,1
1326,50,50,100,1
1327,50,50,100,1
1328,50,50,100,1
1329,50,50,100,1
1330,50,50,100,1
1331,50,50,100,1
1332,50,50,100,1
1333,50,50,100,1
1334,50,50,100,1
1335,50,50,100,1
1336,50,50,100,1
1337,50,50,100,1
1338,50,50,100,1
1339,50,50,100,1
1340,50,50,100,1
1341,50,50,100,1
1342,50,50,100,1
1343,50,50,100,1
1344,50,50,100,1
1345,50,50,100,1
1346,50,50,100,1
1347,50,50,100,1
1348,50,50,100,1
1349,50,50,100,1
1350,50,50,100,1
1351,50,50,100,1
1352,50,50,100,1
1353,50,50,100,1
1354,50,50,100,1
1355,50,50,100,1
1356,50,50,100,1
1357,50,50,100,1
1358,50,50,100,1
